iter	Passed	Remaining
0	2	232
1	4	220
2	6	213
3	8	195
4	10	199
5	12	196
6	14	193
7	16	193
8	18	190
9	20	186
10	22	184
11	24	181
12	26	179
13	28	177
14	30	174
15	32	171
16	34	168
17	36	165
18	38	163
19	40	161
20	42	158
21	44	156
22	46	154
23	48	152
24	50	150
25	52	148
26	54	146
27	55	143
28	57	141
29	60	140
30	61	137
31	63	135
32	65	133
33	67	131
34	69	129
35	71	127
36	73	125
37	75	123
38	77	121
39	79	119
40	81	117
41	82	113
42	84	112
43	86	109
44	88	107
45	90	105
46	92	103
47	93	101
48	95	99
49	97	97
50	98	94
51	100	92
52	101	89
53	102	87
54	103	84
55	104	82
56	105	79
57	106	77
58	108	75
59	109	72
60	110	70
61	111	68
62	113	66
63	114	64
64	115	62
65	116	60
66	117	58
67	118	55
68	120	53
69	121	51
70	122	50
71	124	48
72	125	46
73	126	44
74	128	42
75	129	40
76	130	38
77	131	37
78	133	35
79	134	33
80	135	31
81	136	29
82	137	28
83	139	26
84	140	24
85	141	23
86	142	21
87	143	19
88	145	17
89	146	16
90	147	14
91	148	12
92	150	11
93	151	9
94	152	8
95	153	6
96	155	4
97	156	3
98	157	1
99	158	0
